featured,date,start_time,event_name,venue,venue_address,venue_lat,venue_lng,venue_notes,venue_map_status,region,url,category
,2026-07-01,7:30 PM,Li Daiguo Live in the PRS Library!,Philosophical Research Society,"3910 Los Feliz Boulevard, Los Angeles, United States",34.1131212,-118.2776505,,,los-angeles,,Music
,2026-07-01,8:00 PM,Maddie Jay,Cafe Du Nord,"San Francisco, United States",37.7749295,-122.4194155,,,san-francisco,https://allevents.in/san-francisco/maddie-jay/210001298988189,Music
,2026-07-01,8:00 PM,Chuck Israels Jazz Orchestra,The Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",45.5194403,-122.6762525,,,portland-metro,https://www.bandsintown.com/e/1039236242-chuck-israels-at-the-jack-london-revue,Music
,2026-07-01,8:00 PM,Kiefer Sutherland w/ Rocco Deluca,El Rey Theatre,"Los Angeles, United States",34.0549076,-118.242643,,,los-angeles,https://allevents.in/los-angeles/kiefer-sutherland-w-rocco-deluca/210003407674881,Theater
,2026-07-01,8:30 PM,Mango Twist- Live Music & Dancing!,Atlantis Lounge,"3552 N Mississippi Ave, Portland, OR 97227",45.5486219,-122.6752834,,,portland-metro,https://mississippipizza.com/event/mango-twist-live-music-dancing-5/,Music
,2026-07-01,9:30 PM,Local/Global with DJmaDRE and friends,Madrone Art Bar,"500 Divisadero Street, San Francisco, CA 94117, United States",37.7742154,-122.4374123,,,san-francisco,https://madroneartbar.com/event/local-global-with-djmadre-and-friends-2026-07-01-2/2026-07-01/,Music
,2026-07-02,,Win Tickets to the 2026 Waterfront Blues Festival!,Waterfront Park,Downtown Portland,45.5173454,-122.6835562,,,portland-metro,https://www.kink.fm/contests/win-tickets-to-the-2026-waterfront-blues-festival/,Music
,2026-07-02,,Waterfront Blues Festival,,"Portland, Oregon",45.515232,-122.6783853,,,portland-metro,https://statesmanjournal.com/story/life/2026/03/11/portland-waterfront-blues-festival-10best-usatoday-2026/89091223007/,Music
,2026-07-02,,Portland’s Waterfront Blues Festival,Tom McCall Waterfront Park,"98 SW Naito Pkwy, Portland, OR 97204",45.5175316,-122.6720321,,,portland-metro,https://www.travelportland.com/events/waterfront-blues-festival/,Music
,2026-07-02,10:00 PM,Anime Rave - Night 1 at The Regent Theater Los Angeles,The Regent Theater Los Angeles,"448 S. Main St., Los Angeles, CA 90013, United States",34.0470995,-118.2479763,,,los-angeles,https://allevents.in/los-angeles/anime-rave-night-1-at-the-regent-theater-los-angeles/2400030203211814,Music
,2026-07-02,11:00 PM,NACHTURNAL EVENTS PRESENTS  LOS ANGELES ALTERNATIVE  WEEKEND AFTER PARTY,DRAC'HAUS,"1625 Trinity St, Los Angeles, United States",34.0302008,-118.2582793,,,los-angeles,https://allevents.in/los-angeles/nachturnal-events-presents-los-angeles-alternative-weekend-after-party/100001991292522539,Music
,2026-07-02,11:30 AM,Free Art in The Park,Pioneer Courthouse Square,"701 SW 6th Ave. Portland, OR 97204 United States",45.5185946,-122.6792715,,,portland-metro,https://www.thesquarepdx.org/event/free-art-in-the-park-with-larry-yes-26/2026-07-02/,Music
,2026-07-02,12:00 PM,Civic Center Soundtrack,Fulton Street Plaza,"147 Fulton St, San Francisco, CA 94102",37.7796929,-122.4159441,,,san-francisco,https://illuminate.org/event/civic-center-soundtrack-july-2-2/,Music
,2026-07-02,12:00 PM,Noon Tunes Summer Concert Series,Pioneer Courthouse Square,"701 SW 6th Ave., Portland",45.5185946,-122.6792715,,,portland-metro,https://www.thesquarepdx.org/events/2026-07-02/,Music
